change_id,timestamp,user_id,system_id,system_name,criticality,system_owner_department,user_department_name,change_type,change_summary,workflow_id,workflow_source,status,created_at,approved_at,approved_by,compliance_status,check_id,run_date,run_timestamp
C001,2026-03-02 10:15:00,U012,SYS02,Firewall Manager,High,Security,Security,FirewallRuleUpdate,Updated outbound rule for DMZ servers,WF001,ChangePortal,Approved,2026-02-01,2026-02-02,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C002,2026-03-03 09:00:00,U007,SYS01,Core Network Monitor,High,IT Operations,IT Operations,AlertThresholdChange,Adjusted CPU alert thresholds,WF002,ChangePortal,Approved,2026-02-05,2026-02-06,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C003,2026-03-04 11:30:00,U007,SYS04,VPN Gateway,High,IT Operations,IT Operations,VPNAccessPolicyChange,Added new VPN group for contractors,WF003,ChangePortal,Approved,2026-02-10,2026-02-11,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C004,2026-03-05 14:45:00,U001,SYS03,Config Repository,High,Engineering,Engineering,ConfigTemplateUpdate,Updated router template,WF004,ChangePortal,Approved,2026-02-15,2026-02-16,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C005,2026-03-06 16:00:00,U014,SYS05,Log Aggregator,Medium,Security,Security,LogRetentionChange,Extended log retention from 30 to 90 days,WF005,ChangePortal,Approved,2026-02-20,2026-02-21,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C006,2026-03-07 13:20:00,U013,SYS02,Firewall Manager,High,Security,Security,FirewallRuleUpdate,Blocked deprecated protocol,WF006,ChangePortal,Approved,2026-02-25,2026-02-26,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C007,2026-03-08 09:10:00,U008,SYS01,Core Network Monitor,High,IT Operations,IT Operations,AlertRoutingChange,Changed escalation path for P1 alerts,WF007,ChangePortal,Approved,2026-03-01,2026-03-02,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C008,2026-03-09 08:30:00,U011,SYS04,VPN Gateway,High,IT Operations,IT Operations,VPNAccessPolicyChange,Enabled split tunneling for pilot group,WF013,ChangePortal,Rejected,2026-02-18,,tom.sec,UNAUTHORIZED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C009,2026-03-10 12:00:00,U016,SYS02,Firewall Manager,High,Security,Finance,FirewallRuleUpdate,Finance user modified firewall rule with no ticket,,,,,,,AD_HOC_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C010,2026-03-11 15:25:00,U023,SYS08,Internal Admin Portal,High,Security,HR,AdminRoleAssignment,HR user granted admin role to self,WF014,ChangePortal,Draft,2026-02-22,,tom.sec,UNAUTHORIZED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C011,2026-03-12 10:05:00,U020,SYS04,VPN Gateway,High,IT Operations,Sales & Marketing,VPNAccessPolicyChange,Sales engineer changed VPN policy without approval,WF016,LegacySystem,Rejected,2025-11-15,,tom.sec,UNAUTHORIZED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C012,2026-03-13 17:40:00,U010,SYS01,Core Network Monitor,High,IT Operations,IT Operations,AlertThresholdChange,Increased threshold for disk alerts,WF008,ChangePortal,Approved,2026-03-05,2026-03-06,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C013,2026-03-14 09:55:00,U029,SYS05,Log Aggregator,Medium,Security,Security,LogRetentionChange,Shortened retention for security logs,WF009,ChangePortal,Approved,2026-03-10,2026-03-11,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C014,2026-03-15 11:05:00,U018,SYS07,Billing Integration Gateway,High,Finance,Finance,BillingConfigChange,Updated billing connector timeout,WF010,ChangePortal,Approved,2026-03-15,2026-03-16,tom.sec,PRE_AUTHORIZED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C015,2026-03-16 08:45:00,U015,SYS02,Firewall Manager,High,Security,Security,FirewallRuleUpdate,Emergency block for malicious IP range,WF011,EmergencyForm,Approved,2026-02-12,2026-02-12,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
C016,2026-03-17 19:00:00,U015,SYS02,Firewall Manager,High,Security,Security,FirewallRuleUpdate,Emergency unblock after incident resolved,WF012,EmergencyForm,Approved,2026-03-03,2026-03-03,tom.sec,APPROVED_CHANGE,NWSM_007,2026-04-03,2026-04-03 11:29:&S
